Date,Name,Nationality,Cause of death,"Lat, Lon",Rank
5/21/2017,Francesco Enrico Marchetti,Australia,Altitude sickness,"27.9882° N, 86.9254° E",1
5/21/2017,Vladimír Štrba,Slovakia,Altitude sickness,"27.9882° N, 86.9254° E",1
5/20/2017,Roland Yearwood,United States,Altitude sickness,"27.9882° N, 86.9254° E",1
5/5/2017,Min Bahadur Sherchan,Nepal,Heart Attack,"27.9882° N, 86.9254° E",1
5/22/2016,Goutam Ghosh,India,Exposure,"27.9882° N, 86.9254° E",1
5/22/2016,Paresh Chandra Nath,India,Exposure,"27.9882° N, 86.9254° E",1
5/22/2016,Subhash Pal,India,Altitude sickness,"27.9882° N, 86.9254° E",1
5/22/2016,Marisa Elizabeth Strydom,Australia,Stroke,"27.9882° N, 86.9254° E",1
5/21/2016,Eric Arnold,Netherlands,Altitude sickness,"27.9882° N, 86.9254° E",1
5/19/2016,Phurba Sherpa,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/11/2016,Charles MacAdams,Canada,Cardiac event,"27.9882° N, 86.9254° E",1
5/1/2015,Jangbu Sherpa,Nepal,Avalanche,"27.9882° N, 86.9254° E",1
4/25/2015,Unknown climber,?,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Shiva Kumar Shrestha,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Vinh B Truong,Vietnam,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Lhakpa Chhiring Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Renu Fotedar,India,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Tenzing (Tengien) Bhote,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Krishna Kumar Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Pasang Temba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Pema Yishi (Hissi) Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Chhimi Dawa Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Maila (Milan) Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Dawa Tsering Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Pemba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Thomas Ely Taplin,United States,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Marisa Eve Girawong,United States,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/25/2015,Daniel Paul Fredinburg,United States,Base Camp avalanche following the April 2015 Nepal earthquake,"27.9882° N, 86.9254° E",1
4/18/2014,Aash Bahadur Gurung,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,PemTenji Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Ankaji Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Pasang Karma Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Phur Temba Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Then Dorjee Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Dorjee Khatri,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Chhiring Ongchu Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Lapka Tenjing Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Phurba Ongyal Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Tenzing Chottar Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Nima Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Ang Tshiri Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Dorji Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/18/2014,Mingma Nuru Sherpa,Nepal,2014 Mount Everest Avalanche,"27.9882° N, 86.9254° E",1
4/2/2014,Mingma Tenzing Sherpa,Nepal,HAPE,"27.9882° N, 86.9254° E",1
5/22/2013,Unknown climber,Nepal,Altitude sickness,"27.9882° N, 86.9254° E",1
5/21/2013,Sajal Khaled,Bangladesh,Altitude sickness,"27.9882° N, 86.9254° E",1
5/21/2013,Seo Sung-ho,South Korea,Altitude sickness,"27.9882° N, 86.9254° E",1
5/17/2013,Namgyal Sherpa,Nepal,Disappeared,"27.9882° N, 86.9254° E",1
5/15/2013,Alexey Bolotov,Russia,Fall,"27.9882° N, 86.9254° E",1
5/7/2013,Lobsang Sherpa,Nepal,Fall,"27.9882° N, 86.9254° E",1
5/5/2013,Sergey Ponomarev,Russia,Cardiac arrest,"27.9882° N, 86.9254° E",1
5/5/2013,DaRita Sherpa,Nepal,Cardiac arrest,"27.9882° N, 86.9254° E",1
4/7/2013,Mingma Sherpa,Nepal,Fall into crevasse,"27.9882° N, 86.9254° E",1
5/20/2012,Ralf D. Arnold,Germany,Exhaustion,"27.9882° N, 86.9254° E",1
5/20/2012,Juan José Polo Carbayo,Spain,Exhaustion,"27.9882° N, 86.9254° E",1
5/20/2012,Ha Wenyi,China,Altitude sickness,"27.9882° N, 86.9254° E",1
5/19/2012,Song Won-bin,South Korea,Fall,"27.9882° N, 86.9254° E",1
